2.こどものころの衣服

話し手
（略号）　（氏名）　　（性）　（生年）
　Ａ　　　山室　二郎　　男　　明治31年生まれ〈司会役〉
　Ｂ　　　山室　富江　　女　　明治41年生まれ
　Ｃ　　　坂本　アイ　　女　　明治27年生まれ
　Ｄ　　　坂本　ヨシノ　女　　明治36年生まれ
〔Ｅ　　　佐藤　虎男　　男　　大正15年生まれ〈同席担当者〉〕


0418210|Ｂ|セヤケド　ウチワー　フダン　ゾーリガ　ナイデ　ショナイ　ワー。ホンデモ。サキエ　カワント　ナー。《笑》|だけど　うちは　不断　草履が　ないから　しかたがない　わよ。だけども。先に　買わないと　ねえ。《笑》
0418212|Ｃ|ホンマニー。|ほんとうにねえ。
0418213|Ｂ|オボエトッテ　ナイ　ンナ。アンター。コーシテ　ココオ　ナー。タブント　コー　コレカ゜　フクヤロ。〈コーシ…〉|おぼえておいでじゃ　ない　の？あなた。このように　ここを　ねえ。たぶんと　こう　これが　服でしょ。こうし…
0418302|Ｄ|〈アンタラ〉ワ　マンダ　ワカイデヤケド　ワタシラワ　〈ソンナー　｛　　｝　コレオ　コー〉　【オリ】　オロシテ　シマワント　ナー。オバハン　エ。（Ｃ　フン。）　〈ココオ〉　（Ｄ　〈｛　　｝〉　カキアワス　ジバンダケ｛シカ｝　《笑》）　ココオ　コー　ククッテ　アノ　【シタ】　ウラカラ　キテ　ココ　ククッテ　ホィテ　コレオ　コー　オロシヨッタンヤ。ソレカ゜　イチバン　ハジメフク。|あんたたちは　まだ　若いからだけれど　わたしなんかは　そんな　これを　こう　おろして　しまわないで　ねえ。おばさん、ね！（Ｃ　ふん。）　ここを　（Ｄ　かきあわす　襦袢だけしか　《笑》）　ここを　こう　括って　あの、裏から　着て、ここを　括って　そして　これを　こう　おろしていたんです。それが　いちばん　はじめの服。
0418308|Ｃ|モー　ノーカ゜ッコーイ　イクヨーン　ナッタラ　ナー。オナコ゜ノ　コーラ　アノ　アカイ　ケットー｛キシカ｝［13］　アノ　コー　キ〈ヨッタンデス　ワ〉。|もう　農学校へ　行くように　なったら　ねえ。女の　子らは　あの　赤い　毛套　あの、こう、着ていたんです　の。
0418311|Ｄ|〈ハー。アタシラ〉モ　ケットーヤ。（Ｃ　〈ケットーヤラ〉…。）|はあ。わたしたちも　毛套です。（Ｃ　毛套やら…）
0418312|Ｂ|〈ハー〉。（Ｃ　アノ…）　ワタシラーワー　【イチ】　チサイ　トキワー　【イチ】　イチネンセーノ　トキワ　ニーチャンラーノ　フルノ　ナ。ケーサツノ　シトノ　ショーコーマントカ、コレグライノ　ミジカインオ　キテ　イキヨッタケドモー　アレ　ナンネンセーヤッタヤロ。ヨネンク゜ライヤッタ　カ。【ウ】　ウチダッケ　アノ　【シマ】　シマノ　ナー。マントノ　テーカ゜　デル　トコノンオ　コーテ　モロタラ　ハイカラヤ　ハイカラヤ　ユワレタ　ナー。ソーユー　コト　ヨー　オボエトル。ワタシ。|（Ｃ　あの…）　わたしたちは　小さい　時は　一年生の　時は　兄ちゃんらの　古いの　ねえ。警察の　人の　将校マントか、これぐらいの　短いのを　着て　行ってたけれども　あれ　何年生だったでしょ。四年ぐらいだった　か。わたしだけ　あの　縞の　ねえ。マントの　手が　出る　ところの〔あるの〕を　買って　もらったら　ハイカラだ　ハイカラだと　言われた　ねえ。そういう　ことを　よく　おぼえてる。わたし。
0418407|Ｄ|｛ワタシ｝ラ　アマエタ｛ヤッタハカイ｝［14］　ロクネンマデ　ユキャ　フッタラ　オクリムカエ　《笑》|わたしらは　甘えていたから　六年まで　雪が　降ったら　送り迎え　《笑》
0418409|Ｂ|ワタシラモヤ。|わたしらもです。
0418410|Ｄ|オーテ　モロテ。ミンナニ　ワラワレモッテ。ヘッヘ。|〔背に〕負って　もらって。みんなに　笑われ笑われして。ほほ。
0418411|Ｂ|ワタシモー　オクリ｛ムカエ　ハラシ｝［15］チャッタンヤ　デ。ニーチャント　ア、エーチャント。アサ　オクッ〈テ　イッタ　モノワ〉|わたしも　送り迎えを　たんですよ。兄ちゃんと、あ、栄ちゃんと。朝　送って　行った　ものは　
0418413|Ａ|〈ガッコー　イク〉　アノー　ユキカキデモ　アノー　ムラデー　カキヨッタンデスケン　ナー。イマワー　コー　ミチ　イッパイ　キレーニ　ジドーシャカ゜　トールヨーニ　ユキハネ　シマスケン　ナー。モ　マエニワー　ユッカキニ　イッテモ　アン　トールダケシカ　カカナンダス　ワナ。|学校へ　行く　あのう、雪かきでも　あのう、村で　掻いていたものですけど　ねえ。今は　こう　道　いっぱい　きれいに　自動車が　通るように　雪はね　しますけど　ねえ。もう　以前には　雪掻きに　行っても　あの、通るだけしか　掻かなかったです　よね。
0418505|Ｅ|アー、ソーデス　カ。|ああ、そうです　か。
0418506|Ａ|ホデ　ソコー　モー　クツーナンツー　モノア　アレヘンシ　ゾーリ　ハイテ　エー　タビノー　ウエニ　ゾーリ　ハイテ　ホシテ　ソノ　ヘンデ　ハシッテ　イキヨッタ　モンデス　ワ。|それで　そこを　もう　靴などという　ものは　ありはしないし　草履を　はいて　足袋の　上に　草履を　はいて　そして　その　へんで　走って　行ってた　ものです　よ。
0418509|Ｂ|｛イゴキモ｝　ドーモ　セン。|動きも　どうせ　しない。
0418510|Ｄ|〈スソガ　ア〉　ユキニ　ツイテ　《笑》|裾が、あ　雪に　ついて　《笑》
0418511|Ｅ|ネー。キモノデー　〈｛　　｝〉|ねえ。着物で
0418512|Ｄ|｛　　ユキガ　コナイモンデー｝　コノ　スソカ゜　【キモ】　ユキニ　ツカエテ。|雪が　こんなだもんだから　この　裾が　雪に　つかえてね。
0418601|Ｃ|ワタシラー　モー　シモヤケノ　ショーデシタサカイデ　ナンデシタ、モ　タビ　ハイテ　ナー。クツカ゜　ナイモンジャデ。（Ｅ　ハー。）　ホイテ　アノー　アレデシタ、ガッコ　イクンデシタカ゜。ホシタ　シモヤケカ゜　モー　ヒドイ　コト　タダレテ　ナー。イタイデシタ　ワ。ソノ、｛ヘンデ　モー　アノ　タライン　ナカイ｝　アシ　ツッコンデ　ナー。（Ｅ　エー。）　アシオ　ヌクメナ　シアナイモンジャデ　（Ｅ　ハー。）　ホンマニ　イマノ　コトオ　オモッタラ　ナンキ゜シマシタ　ナー。|わたしなどは　もう　霜やけの　性でしたから　なんでした、もう、足袋を　はいて　ねえ。靴が　ないもんですから。（Ｅ　はあ。）　そして　あのう、なんでした、学校へ　行くんでしたが。そしたら　霜やけが　もう　ひどく　ただれて　ねえ。痛いでした　わ。その、それで　もう　あの、たらいの　中に　足　つっこんで　ねえ。（Ｅ　ええ。）　足を　あたためねば　しようがないものだから　（Ｅ　はあ。）　ほんとに　今の　ことを　思ったら　難儀しました　ねえ。
0418609|Ｅ|ソーデショー　ナー。|そうでしょう　ねえ。
0418610|Ｃ|ヘー。イマデワ　アンマイ　モンデスケン　ナーア。《笑》　イマデワ　ホンマニ　ウマイ［16］　モンジャケード　ナンキ゜シトリマス　ナー。ショーカ゜ッコージダイワ。（Ｅ　ネー。）　モー　ハチジューサンネンニモ　ナルンジャカ゜。《笑》|はい。今では　甘い　ものですけど　ねえ。《笑》　今では　ほんとに　甘い　ものだけれど　難儀しています　ねえ。小学校時代は。（Ｅ　ねえ。）　もう　八十三年にも　なるんだが。《笑》
0418701|Ａ|ソレカラ　トチューニー　モンペー　チューノカ゜　デケテ　コレ　モンペー　チューノワ　アーノー　コノ　ヒカ゜シヤタデモ　オヨキ゜　ホカラ　クロタニノ　ホーメンノ　シトワ　アノー　トシノ　イッタ　オンナノ　シトモ　オトコノ　シトモ　ハイトルンデスケン　ナー。モトカラ　ハヨーカラ　ハキヨッタンスケードモ　コノ　ヘンデワー　モンペー　チュモナー　ヨッポドー　オソー　ナッテカラ　ハイッタ　モンデス。ソシテ　コドモモ　モンペー　ハイテ　ガッコ　イクヨーニ　ナリマシタケン　ナー。|それから　途中に　もんぺい　というのが　できて、これ　もんぺい　というのは　あのう、この　東八田でも　於与岐　それから　黒谷の　方面の　人は　あのう、年の　いった　女の　人も　男の　人も　みな　はいてるんですけど　ねえ。もとから　早くから　はいていたんですけれども　この　へんでは　もんぺい　というものは　よほど　遅く　なってから　はいった　ものなんです。そして　こどもも　もんぺいを　はいて　学校へ　行くように　なりましたけど　ねえ。
0418709|Ｅ|ア、ソーデス　カ。（Ａ　ヘー。）　ヘー。|あ、そうです　か。（Ａ　はあ。）　へえ〔そうですか〕。
0418710|Ａ|デ　モンペーオ　ハイテ　イクトー　キモノカ゜　スソカ゜　マトマリマスデ。（Ｅ　エー。ソーソーソーソー。）　ソイデ　ユキン　ナカーナンデモ　タイヘン　ツコ゜ーカ゜　エーンデスケン　ナー。（Ｅ　アー。）　ケド　ソンナ　モンワー　ナカッタエス。コドモノ　ジブンニワ。|で、もんぺいを　はいて　行くと　着物が　裾が　まとまりますから。（Ｅ　ええ。そうそうそうそう。）　それで　雪の　中なんかでも　たいへん　都合が　よいんですけど　ねえ　（Ｅ　ああ。）　けど　そんな　ものは　なかったですね。こどもの　ころには。
