２．うわさ話など

話し手
　Ａ　武田　ふさ　　女　明治32年　富山村生れ
　Ｂ　田辺　正一　　男　明治34年　富山村生れ
　Ｃ　堤　　ふじよ　女　明治39年　富山村生れ
〈Ｙ　山口　幸洋　　男　昭和11年　静岡県新居町生れ〉

0334505|Ａ|リソク　エー　ソイデ　オリャー　ヨミエンデ　イランテュッタカ゜ネー|利息　ね　それで　俺は　読めないから　要らないって言ったけれどね
0334507|Ｃ|フツーノ　シューニ|ふつうの　衆に
0334508|Ａ|ナンデモ　クレタカ゜ッテ　クレタカ゜ッテ　ホイデ　モラッテキタン　ヨミャー　センダイ|何でも　くれたがって　くれたがって　それで　貰って来たが　読みは　しないよ
0334510|Ｙ|エーコトン　カイテ　アッタダニネー　キット|良い事が　書いて　あったのにね　きっと
0334511|Ａ|アレ　ユエニ　カネコサンカ゜　ハルカ　シタニ　イタダカ　カケ゜ンダカネー　キョクノホー　コバヤシサン　ヤクバノホー　イクト　ヨーカ゜　アルッキリウォ　シャベッテ　アーシテテ　アリカ゜トゴザイマシタッチュッタキリデ　マー　シャベッタ　コター　ナイ　ヤクバノホー　キズケーナ　メッタ　ヤクバイワ　イカン　キズケーナ　ヨッコロ　ヨーカ゜　ナケニャ|あれ　上に　兼子さんが　長く　下に　いたのか　その加減なのかね　局の方　小林さん　役場の方　行くと　用が　あるだけを　しゃべって　あゝして　ありがとうございましたって言ったきりで　まあ　しゃべった　ことは　ない　役場の方が　気遣いな〔ので〕　めったに　役場には　行かない　気遣いだ。よっぽど　用が　なければ
0334604|Ｃ|ソイデアノ　クニフササノ　オバーサ　オバーチャン　オシカ゜　イーチューデ　オバー　オシカ゜　イーヨッチュッチャー|それであの　邦房さんの　お婆さん　お婆ちゃん　押しが　良いっていうから　お婆　押しが　良いよって言っては
0334606|Ａ|ヤクバノホー　キズケーナ　キョクノホーカ゜　キズケーカ゜　ナェーカ゜ネー　キョクノホーワ　アノ　ナンチューダカ　ナカヤノ　ムスコヤナイカワ　アノ　アソコノ　オカーサント　イッショニ　オカーサンワ　トヨカワイ　イッチャッタカ゜ネー　イッチャッタカ゜|役場の方が　気遣いだ　局の方が　気遣いが　ないけどね　局の方は　あの　何というか　ナカヤ〔屋号〕の　息子などは　あの　あそこの　お母さんと　一緒に　お母さんは　豊川へ　行っちゃったがね　行っちゃったが
0334610|Ｂ|ガッコー　イッショダッツエー|学校　一緒だったね
0334611|Ｃ|イッショダッツカネ|一緒だったかしら
0334612|Ｂ|アー　イッショダッツ　トシカ゜　ヒトツ　アレダカ゜　…　ガッコー　イッショダッツ|あゝ　一緒だった　年が　ひとつ　あれだけど　学校は　一緒だった
0334701|Ｃ|アー　ソーダカモ　シレン|あゝ　そうかも　しれない
